stock_symbol,date_time
SAMKRG,2019-08-07 12:30:17
NLCINDIA,2019-08-06 15:30:08
PRECWIRE,2019-08-07 13:15:54
ENDURANCE,2019-08-08 13:48:19
SEAMECLTD,2019-08-09 15:22:01
PGIL,2019-08-13 14:39:17
IDBI,2019-08-14 15:58:49
ENGINERSIN,2019-08-08 15:57:28
UNIVCABLES,2019-08-09 14:47:49
ABFRL,2019-08-06 13:23:57
DEEPAKFERT,2019-08-14 11:53:25
ALPHAGEO,2019-08-14 14:57:47
PRAKASH,2019-08-09 11:50:34
SANGHIIND,2019-08-13 13:44:02
PAUSHAKLTD,2019-08-07 12:31:38
ESTER,2019-08-13 13:23:48
PSPPROJECT,2019-08-09 13:33:05
RADICO,2019-08-08 13:52:13
NATCOPHARM,2019-08-09 14:22:37
UNIPHOS,2019-08-09 11:33:09
GODREJIND,2019-08-13 15:47:21
HOTELEELA,2019-08-13 14:16:07
ELANTAS,2019-07-23 14:47:30
MIDHANI,2019-08-08 14:47:08
HONAUT,2019-08-09 15:38:24
GPPL,2019-08-08 13:33:04
MEDICAMEQ,2019-08-14 14:59:23
APARINDS,2019-08-08 13:22:19
DAICHI,2019-08-13 11:44:33
GREAVESCOT,2019-08-08 13:15:36
M&MFIN,2019-07-23 15:51:42
MAGADHSUGAR,2019-08-09 13:09:21
GRSE,2019-08-09 14:55:35
RECLTD,2019-08-06 15:00:04
ESSELPRO,2019-08-13 15:42:04
LOKESHMACH,2019-08-14 14:51:47
DIAMINESQ,2019-08-09 12:09:02
20MICRONS,2019-08-13 14:30:14
M&M,2019-08-07 12:50:26
JINDALSTEL,2019-08-14 14:06:56
BOSCHLTD,2019-08-13 13:33:42
CUMMINSIND,2019-08-07 12:07:19
GMM,2019-08-13 12:49:15
PAGEIND,2019-08-08 15:36:45
BFINVEST,2019-08-14 12:27:35
SHILPAMED,2019-08-13 15:11:44
ARIES,2019-08-08 15:52:05
CADILAHC,2019-08-09 15:11:11
ULTRACEMCO,2019-08-08 13:47:46
PATELENG,2019-08-14 13:44:46
KSL,2019-08-07 13:26:05
BASF,2019-08-06 14:07:16
JYOTHYLAB,2019-07-23 10:56:58
GICRE,2019-08-14 15:37:21
EMAMILTD,2019-08-08 11:35:34
LAKSELEC,2019-08-07 11:26:10
DVL,2019-08-14 15:51:23
MARKSANS,2019-08-09 13:38:34
HONDAPOWER,2019-08-07 10:37:42
ZEEL,2019-07-23 15:31:35
HAWKINCOOK,2019-08-06 13:36:49
ADANIPORTS,2019-08-07 14:41:48
CAREERP,2019-08-08 14:58:06
KOLTEPATIL,2019-08-06 13:04:31
RANEHOLDIN,2019-08-08 14:54:52
IPCALAB,2019-08-13 12:53:25
TEXRAIL,2019-08-08 14:17:50
NUTRA,2019-08-14 15:01:57
MAWANASUG,2019-08-13 15:03:32
NAUKRI,2019-08-13 13:19:12
SATIN,2019-08-09 14:11:38
VIPCLOTHNG,2019-08-09 15:02:19
BANSWRAS,2019-08-14 14:34:02
ISEC,2019-07-22 15:31:30
SUVEN,2019-08-14 13:09:43
